__AVR_AT94K__	io_at94k
__AVR_ATxmega128A3U__	io_x128a3u
__AVR_ATxmega128B1__	io_x128b1
__AVR_ATxmega128B3__	io_x128b3
__AVR_ATxmega128C3__	io_x128c3
__AVR_ATxmega128D3__	io_x128d3
__AVR_ATxmega128D4__	io_x128d4
__AVR_ATxmega192A3__	io_x192a3
__AVR_ATxmega192A3U__	io_x192a3u
__AVR_ATxmega192C3__	io_x192c3
__AVR_ATxmega192D3__	io_x192d3
__AVR_ATxmega256A3__	io_x256a3
__AVR_ATxmega256A3U__	io_x256a3u
__AVR_ATxmega256A3B__	io_x256a3b
__AVR_ATxmega256A3BU__	io_x256a3bu
__AVR_ATxmega256C3__	io_x256c3
__AVR_ATxmega256D3__	io_x256d3
__AVR_ATxmega384C3__	io_x384c3
__AVR_ATxmega384D3__	io_x384d3
__AVR_ATA5702M322__	io_a5702m322
__AVR_ATA5782__	io_a5782
__AVR_ATA5790__	io_a5790
__AVR_ATA5790N__	io_a5790n
__AVR_ATA5831__	io_a5831
__AVR_ATA5272__	io_a5272
__AVR_ATA5505__	io_a5505
__AVR_ATA5795__	io_a5795
__AVR_ATA6285__	io_a6285
__AVR_ATA6286__	io_a6286
__AVR_ATA6289__	io_a6289
__AVR_ATA6612C__	io_a6612c
__AVR_ATA6613C__	io_a6613c
__AVR_ATA6614Q__	io_a6614q
__AVR_ATA6616C__	io_a6616c
__AVR_ATA6617C__	io_a6617c
__AVR_ATA664251__	io_a664251
__AVR_ATtiny28__	io_tn28
__AVR_AT90S1200__	io_1200
__AVR_ATtiny15__	io_tn15
__AVR_ATtiny12__	io_tn12
__AVR_ATtiny11__	io_tn11
__AVR_M3000__	io_m3000
